Bi-Tank Ads Free,,GAME,0.99
Bubble Shooter DX AdFree,,FAMILY,2.99
Easy Hotspot Ad Free,5.0,TOOLS,0.99
FREE CHATS C.L.,,COMMUNICATION,0.99
FVD Ad-Free,4.4,TOOLS,1.99
Facetune - For Free,4.4,PHOTOGRAPHY,5.99
Flud (Ad free),4.8,VIDEO_PLAYERS,1.49
Lock 'n' Roll Pro - Ad Free,4.6,GAME,0.99
My CookBook Pro (Ad Free),4.6,FOOD_AND_DRINK,3.49
MyRadar NOAA Weather Radar Ad Free,4.5,WEATHER,2.99
ONScripter Plus (Ad Free),4.5,GAME,3.99
RAM Cleanup Ad-Free Option,4.4,TOOLS,2.99
Weather & Radar Pro - Ad-Free,4.5,WEATHER,2.99
WhatsFake Pro (Ad free),4.2,SOCIAL,0.99
cronometer (ad free),3.9,HEALTH_AND_FITNESS,2.99
tTorrent - ad free,4.3,VIDEO_PLAYERS,1.99
